date,number_of_rides,number_of_riders,number_of_vehicles_used,median_ride_distance_meters,median_avg_speed,median_ride_duration,number_of_ready_vehicles
2020-03-11,4624,3397,1688,1100.3588441753768,12.073718398798118,5.716667,2649
2020-05-21,7392,4940,2274,1206.9338839134543,11.346683654150656,6.833333,4010
2020-04-20,3473,2453,1326,1156.2432202107652,12.329068099376359,5.95,2660
2020-12-29,5013,2692,1652,1068.1319872962167,10.793862705958711,6.466667,2945
2018-08-27,28,20,13,0,0,8.733333,NA
2018-11-10,3226,2279,612,0,0,8.5916665,NA
2021-06-01,20663,10273,4954,1423.8577798010488,12.836967251493068,7.183333,6243
2021-06-30,26971,12605,4476,1508.9708502248131,12.513551037174556,7.916667,5505
2019-03-07,2578,1915,790,765.2882144810135,8.433933552638067,5.916667,NA
2019-12-01,2744,2181,1502,1217.0916010934995,13.271376658888165,5.65,4351
2019-05-05,8303,5544,1198,844.590546405215,5.362462397661151,9.783333,NA
2020-10-23,14335,8301,2861,1116.1803574784813,11.569106890813488,6.133333,3665
2019-08-15,15014,10287,3264,891.0593928729942,8.675617669411755,6.983333,5255
2020-07-13,7444,4420,2042,1271.415150663329,11.797426477992346,6.983333,3866
2019-11-10,4436,3482,2399,1220.8708642309712,13.541744400746502,5.516667,5983
2020-02-02,3161,2430,1256,1390.6314594827165,14.060303684843886,6.033333,2128
2020-10-04,7554,4383,2228,1199.128363969201,11.628765241216115,6.633333,4111
2021-01-20,3195,1815,1287,1116.5205872861645,10.934446052780821,6.45,2668
2020-08-01,17798,9394,2825,1413.1614822273714,10.458156110192668,8.683333,4526
2018-10-29,2709,1928,547,0,0,7.733333,NA
2020-05-13,4398,3070,1667,1039.803737854541,12.019438440310797,5.3916665,5762
2019-08-05,12341,8309,3134,876.9428055641438,8.711412962856198,6.85,5369
2019-11-28,7184,5258,2680,1316.3216768003267,14.070236757470754,5.775,5184
2019-03-12,2995,2211,773,776.7273888577456,8.548231219936099,6.083333,NA
2020-01-28,3882,2949,1274,1317.4530622840166,14.806499665550128,5.433333,2512
2021-02-27,6925,3813,1889,1316.4933096957227,11.672209200366567,7.316667,2460
2019-09-02,11362,8067,2844,867.2390997062589,9.40653974337478,6.1583335,4999
2020-06-09,9316,6130,2365,1189.7509908118336,11.355014046089284,6.675,3507
2018-11-28,3347,2508,759,0,0,6.566667,NA
2020-07-02,10662,6616,2198,1342.5771042482854,12.092810716128083,6.966667,3474
2021-03-28,4848,2635,1634,1280.5304832234683,12.681321312787063,6.6,2870
2021-08-14,25976,13131,5413,1467.077831548877,11.742228427591133,8.183333,6912
2019-01-03,1271,934,461,767.9146893205339,7.378048918444827,7.15,NA
2021-06-12,21537,10649,4261,1395.0829834402296,11.226979079912995,8.116667,5714
2020-02-25,4137,3016,1523,1296.0266005959488,15.095657766422338,5.25,2214
2019-06-01,10764,7320,1512,768.3984968198981,5.574233246440834,8.483333,NA
2019-05-23,8095,5962,1482,758.2905329553367,7.057400415527407,7.116667,NA
2020-07-29,11404,6207,2633,1257.3507432165954,11.141094914548367,7.4,4275
2019-01-25,1364,1058,417,741.5184266279064,7.79767033379005,6.383333,NA
2018-12-01,3014,2180,686,0,0,7.9083335,NA
2021-06-05,35528,15445,5306,1633.7920983796748,11.149516687829337,9.383333,6244
2019-12-10,1610,1284,833,1219.4578840593454,13.137385166050546,5.725,3537
2020-06-06,6018,4307,1965,1007.1387915376254,11.099631565721603,5.916667,3308
2021-07-27,27173,11610,5232,1591.4977501529486,11.728619532432441,8.85,6503
2021-08-24,21741,11460,5398,1453.703278826834,13.164604647546502,7.116667,7072
2019-06-14,14190,10275,2217,969.7360690019593,8.376479085712695,7.8,NA
2018-12-18,326,242,80,844.774463225416,7.848882691131335,6.7,NA
2020-07-10,11486,6941,2303,1245.4765182022397,11.600545523987211,6.9583335,3973
